Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	stationaryDist[1]	stationaryDist[2]	tree_length
792	-66.98034	-79.75682	12.77647	0.0184159	0.00402502	0.0408896	0.0217424	0.000147385	0.05658	0.00692738	0.00417455	0.0104345	0.011142	0.00545063	0.0306706	0.0470431	0.00885365	0.0253545	0.0144041	0.0176488	0.504106	1.495894	0.8276	0.911845	0.971619	1.02921	1.09668	1.20831	0.1368227	2.96742	0.0568559	0.0124266	0.12624	0.0671262	0.000455026	0.174681	0.0213871	0.0128882	0.0322148	0.0343991	0.0168279	0.0946903	0.145238	0.0273342	0.0782777	0.0444702	0.0544878	0.747947	0.252053	0.3239041
828	-72.58362	-84.33174	11.74812	0.0185861	0.0116396	0.164814	0.0102784	0.0617769	0.018329	0.00306945	0.00819915	0.0117853	0.0836834	0.0174776	0.0108075	0.0967821	0.0957009	0.106286	0.0812939	0.0186431	0.4059605	1.59404	0.361129	0.608514	0.856439	1.16763	1.64335	2.7691	0.736461	3.926588	0.0226894	0.0142093	0.2012	0.0125476	0.0754157	0.0223755	0.0037471	0.0100093	0.0143872	0.102159	0.0213362	0.0131935	0.118149	0.116829	0.129751	0.0992416	0.022759	0.79702	0.20298	0.8191518
864	-65.37202	-78.22454	12.85251	0.0182635	0.0194692	0.09301	0.00723328	0.0787918	0.0200976	0.00554791	0.00908855	0.0306282	0.0651122	0.0404812	0.0248899	0.127184	0.0778692	0.0536315	0.0136678	0.0619505	0.4927976	1.507202	0.98393	0.99213	0.997538	1.00247	1.00793	1.01633	0.01171399	3.058462	0.0244519	0.0260661	0.124525	0.00968418	0.105489	0.0269074	0.00742775	0.0121681	0.0410062	0.0871747	0.0541978	0.0333235	0.170279	0.104254	0.0718038	0.018299	0.0829416	0.753601	0.246399	0.7469168
900	-63.04076	-75.89687	12.85611	0.00380981	0.0106834	0.0139347	0.241784	0.0205079	0.00491157	0.0431532	0.00559891	0.0156155	0.0397554	0.0185819	0.111107	0.458299	0.00756234	0.00958508	0.0618397	0.212721	0.6845092	1.315491	0.934736	0.96762	0.989783	1.01032	1.03346	1.06982	0.04880084	1.921802	0.00297769	0.00834995	0.0108912	0.188975	0.0160287	0.00383881	0.033728	0.00437603	0.0122049	0.0310722	0.0145233	0.0868396	0.3582	0.00591062	0.00749156	0.048333	0.166259	0.657745	0.342255	1.27945
936	-66.80123	-78.56377	11.76254	0.021577	0.00394761	0.00483826	0.137589	0.0109609	0.0106467	0.0269043	0.0164208	0.00518103	0.0429202	0.0167509	0.0514922	0.0868134	0.000489814	0.0426134	0.0280516	0.0964941	0.4765527	1.523447	0.212943	0.470319	0.790301	1.26534	2.12622	4.69609	1.118393	3.196808	0.0357418	0.00653913	0.00801446	0.227913	0.0181565	0.017636	0.0445663	0.0272007	0.00858226	0.0710963	0.0277474	0.0852956	0.143804	0.000811365	0.0705881	0.0464669	0.15984	0.761724	0.238276	0.6036911
972	-65.66995	-78.68913	13.01918	0.00535999	0.00550364	0.00610888	0.0825694	0.0180975	0.012783	0.00163421	0.00310234	0.00668113	0.0130233	0.00523973	0.0303646	0.0851711	0.00137013	0.00758992	0.0281666	0.055286	0.6084285	1.391571	0.701544	0.841241	0.947494	1.05542	1.18872	1.42543	0.2563079	2.287157	0.0145632	0.0149535	0.0165979	0.224342	0.0491711	0.0347315	0.00444018	0.0084291	0.0181527	0.0353845	0.0142364	0.0825009	0.231411	0.00372266	0.0206219	0.076529	0.150213	0.695786	0.304214	0.3680514
1008	-64.20418	-76.78622	12.58204	0.00559529	0.00650979	0.0550867	0.14207	0.0246348	0.0108679	0.000832805	0.00893313	0.00443195	0.0321525	0.0136024	0.0157597	0.134358	0.0110457	0.00322971	0.0249838	0.0519522	0.6035277	1.396472	0.370507	0.61617	0.859786	1.16308	1.62293	2.69901	0.7179236	2.31385	0.0102469	0.0119217	0.100883	0.260179	0.0451149	0.019903	0.00152515	0.0163597	0.00811644	0.0588825	0.0249108	0.0288615	0.246055	0.0202286	0.00591473	0.0457541	0.0951426	0.698236	0.301764	0.546046
1044	-66.51438	-80.04623	13.53185	0.0148162	0.167251	0.00355538	0.0781802	0.0531266	0.0284193	0.0101313	0.045644	0.00671404	0.0718395	0.0679654	0.0449331	0.22218	0.0768102	0.0389054	0.0501364	0.155165	0.898358	1.101642	0.947866	0.974225	0.991886	1.00818	1.02646	1.055	0.03871478	1.226284	0.013045	0.147258	0.00313037	0.0688344	0.0467758	0.025022	0.00892017	0.0401876	0.00591143	0.0632517	0.0598406	0.0395617	0.19562	0.0676282	0.0342546	0.0441429	0.136616	0.550821	0.449179	1.135773
1080	-65.63577	-79.12922	13.49345	0.0316288	0.069778	0.00435848	0.0555783	0.0800749	0.00571171	0.00199591	0.0121079	0.00390377	0.0909706	0.02914	0.0123148	0.213241	0.070087	0.0117426	0.0287408	0.173963	0.7646986	1.235301	0.971414	0.985955	0.995597	1.00442	1.01424	1.02943	0.02097049	1.61541	0.0353261	0.0779348	0.00486798	0.0620752	0.0894354	0.00637938	0.00222922	0.0135233	0.0043601	0.101605	0.0325464	0.0137544	0.238169	0.0782799	0.0131153	0.0321005	0.194299	0.617651	0.382349	0.8953383
1116	-63.33486	-77.54561	14.21075	0.00101055	0.0198362	0.000200758	0.0384632	0.0151571	0.0038865	0.0277013	0.00768227	0.00305478	0.0104922	0.0204923	0.0136437	0.136548	0.0386336	0.0153314	0.0173833	0.0907585	1.266782	0.7332177	0.483021	0.701245	0.895188	1.11708	1.42604	2.0703	0.526173	0.5788033	0.00219554	0.0430964	0.00043617	0.0835655	0.0329305	0.00844385	0.0601842	0.0166906	0.00663685	0.0227955	0.0445217	0.0296424	0.296666	0.0839357	0.0333093	0.0377671	0.197183	0.366609	0.633391	0.4602757
