Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-70.39044	-81.98032	11.58988	0.000901148	0.0295375	0.0606042	0.10489	0.0159489	0.0118571	0.00393792	0.0144789	0.0705801	0.0328774	0.00238194	0.0761441	0.0128259	0.0327299	0.029491	0.0012354	0.0111047	0.3756581	1.624342	0.284646	0.54183	0.825981	1.21068	1.8456	3.51313	0.9085421	4.323991	0.00176169	0.0577438	0.118477	0.205053	0.031179	0.0231799	0.00769837	0.0283052	0.137979	0.0642731	0.00465654	0.148857	0.0250738	0.0639848	0.0576529	0.00241513	0.0217089	0.812171	0.187829	0.5115261
36	-66.57518	-76.78808	10.2129	0.00105083	0.00121762	0.000782848	0.0213595	0.00817306	0.00369687	6.72641e-05	0.00206683	0.00993875	0.00192355	0.0428819	0.0181122	0.00372078	0.00134261	0.000114208	0.00646207	0.0105302	0.3615373	1.638463	0.10444	0.332276	0.709114	1.41021	3.00955	9.57489	1.633517	4.531932	0.00787485	0.00912478	0.00586662	0.160067	0.0612484	0.0277042	0.000504074	0.0154887	0.0744804	0.014415	0.321355	0.135732	0.0278833	0.0100614	0.00085587	0.0484264	0.0789125	0.819231	0.180769	0.1334411
72	-70.72002	-83.33407	12.61405	0.0131226	0.0125964	0.0281087	0.0485693	0.144133	0.0746119	0.0656507	0.0113109	0.0901533	0.065139	0.0327002	0.0337733	0.00715505	0.0190131	0.101202	0.0147938	0.250454	0.6020432	1.397957	0.602612	0.781131	0.925831	1.08011	1.28019	1.65944	0.3662211	2.32202	0.0129608	0.0124411	0.027762	0.0479703	0.142355	0.0736917	0.064841	0.0111714	0.0890414	0.0643356	0.0322969	0.0333568	0.00706681	0.0187786	0.099954	0.0146113	0.247365	0.698978	0.301022	1.012487
108	-70.76649	-81.51253	10.74605	0.0188906	0.00448849	0.00261118	0.0270999	0.0125302	0.0497683	0.00174737	0.0176115	0.00129959	0.0269231	0.0128539	0.0184381	0.0168395	0.00187521	0.0101352	0.00786408	0.0218415	0.4874539	1.512546	0.0625159	0.258703	0.655851	1.52474	3.86544	15.9959	2.004589	3.102952	0.0747202	0.0177539	0.0103283	0.107192	0.0495622	0.196854	0.00691159	0.0696608	0.00514043	0.106492	0.0508425	0.0729306	0.0666071	0.00741725	0.0400891	0.0311057	0.0863921	0.756273	0.243727	0.2528178
144	-68.20448	-81.06563	12.86115	0.0150885	0.00621732	0.00304337	0.0625982	0.0379382	0.0282259	0.00221307	0.0174274	0.0136156	0.051948	0.00944369	0.0371382	0.052136	0.00735378	0.000183806	0.0218267	0.0757357	0.4997697	1.50023	0.856309	0.927137	0.976674	1.02388	1.07859	1.1678	0.1121651	3.001844	0.0341267	0.0140621	0.00688336	0.141582	0.0858071	0.0638402	0.00500543	0.0394167	0.0307952	0.117494	0.0213594	0.0839976	0.117919	0.0166325	0.000415726	0.0493667	0.171296	0.750115	0.249885	0.4421336
180	-65.40497	-78.90994	13.50497	0.0293399	0.00447423	0.00966471	0.238805	0.0221595	0.0589288	0.00890431	0.00505391	0.0323667	0.0813233	0.0319864	0.253015	0.0484113	0.0295585	0.000417633	0.0831057	0.172318	0.9990344	1.000966	0.65892	0.815914	0.938501	1.06553	1.22562	1.51763	0.3016304	1.001933	0.0264363	0.00403144	0.00870825	0.215172	0.0199665	0.053097	0.00802311	0.00455376	0.0291635	0.0732753	0.0288209	0.227976	0.0436203	0.0266333	0.000376302	0.0748812	0.155265	0.500483	0.499517	1.109833
216	-69.22249	-81.13701	11.91452	0.0263548	0.0129646	0.201609	0.250411	0.0244636	0.0074395	0.0374851	0.0152136	0.0651693	0.0725246	0.0394224	0.253328	0.141725	0.0274728	0.000990521	0.112647	0.248899	0.4956466	1.504353	0.871505	0.935124	0.979291	1.02115	1.06938	1.14744	0.09944661	3.035133	0.0171344	0.00842888	0.131075	0.162803	0.0159049	0.00483674	0.0243707	0.00989101	0.0423694	0.0471514	0.0256302	0.1647	0.0921417	0.0178612	0.000643981	0.073237	0.16182	0.752177	0.247823	1.538121
252	-67.97366	-80.15346	12.1798	0.0274004	0.00464998	0.0489146	0.0125996	0.021354	0.0111569	0.0124651	0.00337546	0.00241621	0.0289457	0.00450493	0.0577833	0.0482622	0.0210216	0.0193977	0.0281469	0.128533	0.5614722	1.438528	0.251228	0.509814	0.810434	1.23391	1.9615	3.98045	0.9988437	2.562064	0.0569741	0.00966877	0.101709	0.0261985	0.0444017	0.0231988	0.0259189	0.00701866	0.00502407	0.0601873	0.00936718	0.12015	0.100352	0.0437105	0.0403339	0.0585263	0.267261	0.719264	0.280736	0.4809274
288	-71.50728	-85.11447	13.6072	0.0723358	0.0584593	0.0676497	0.0502634	0.106699	0.0269841	0.143533	0.0171877	0.033625	0.0351574	0.219517	0.322061	0.0263857	0.065214	0.0196172	0.0967076	0.0501364	1.100762	0.899238	0.952088	0.976339	0.992557	1.0075	1.02423	1.05032	0.03550119	0.8169232	0.0512463	0.0414155	0.0479264	0.0356091	0.0755907	0.0191169	0.101686	0.0121766	0.0238216	0.0249072	0.155517	0.228164	0.0186929	0.0462008	0.0138978	0.0685125	0.0355191	0.449619	0.550381	1.411533
324	-72.56322	-85.27791	12.7147	0.0118064	0.0046117	0.0879679	0.0582151	0.0374927	0.0169899	0.0096702	0.0122578	0.00611157	0.00546592	0.0153071	0.0338631	0.0101445	0.0104199	0.00784388	0.0813627	0.00297333	0.5762831	1.423717	0.506327	0.717547	0.901629	1.1091	1.39364	1.97501	0.4921006	2.470517	0.0286213	0.0111798	0.213254	0.141126	0.0908906	0.0411872	0.0234427	0.0297157	0.0148158	0.0132506	0.0371077	0.0820916	0.0245926	0.02526	0.0190153	0.197241	0.00720802	0.711858	0.288142	0.4125038
360	-67.69094	-79.98464	12.2937	0.00574085	0.0211033	0.0107048	0.180591	0.0202545	0.0224924	0.0135055	0.00287738	0.0100631	0.0152479	0.105717	0.0684321	0.0977434	0.0306091	0.00195726	0.0103705	0.00670643	0.4167369	1.583263	0.61361	0.788051	0.928382	1.07714	1.26895	1.6297	0.3531441	3.79919	0.00919837	0.0338131	0.017152	0.289354	0.032453	0.0360387	0.0216394	0.00461033	0.0161237	0.0244312	0.169387	0.109646	0.156611	0.049044	0.00313605	0.0166164	0.0107455	0.791632	0.208368	0.6241164
396	-69.51202	-80.93668	11.42465	0.0202967	0.0669904	0.0064047	0.0910317	0.0260322	0.00497714	0.00571153	0.0224377	0.0144392	0.00403676	0.0317397	0.0476433	0.00909815	0.0136126	0.0197244	0.0206028	0.0710548	0.2559488	1.744051	0.555041	0.750424	0.91432	1.09371	1.33258	1.80167	0.4256799	6.814063	0.0426551	0.140785	0.01346	0.19131	0.0547085	0.0104598	0.0120032	0.0471545	0.0303451	0.00848356	0.0667033	0.100126	0.0191204	0.0286078	0.0414522	0.0432983	0.149327	0.872026	0.127974	0.4758337
432	-72.99212	-82.70426	9.712148	0.0166571	0.0190924	0.00587014	0.0926486	0.0117716	0.0338732	0.00153133	0.00597289	0.0197878	0.0188993	0.0271308	0.0663374	0.00729589	0.00790555	0.0261864	0.0114867	0.0435925	0.1520131	1.847987	0.183759	0.437696	0.772774	1.29404	2.28469	5.44191	1.224973	12.15676	0.0400373	0.0458909	0.0141096	0.222692	0.0282944	0.0814182	0.00368074	0.0143565	0.0475622	0.0454267	0.0652122	0.15945	0.0175365	0.0190019	0.0629421	0.0276097	0.10478	0.923993	0.0760066	0.4160397
468	-75.90979	-87.17317	11.26338	0.0942802	0.000256132	0.0498892	0.0268035	0.0762335	0.00995051	0.0244485	0.046561	0.00112149	0.000383082	0.0996204	0.102467	0.0380708	0.027175	0.0154268	0.0323604	0.0184599	0.2637504	1.73625	0.439168	0.669438	0.882317	1.13338	1.49379	2.27703	0.5949937	6.582927	0.142094	0.000386026	0.0751901	0.0403967	0.114895	0.0149968	0.0368473	0.070174	0.00169024	0.000577359	0.150142	0.154433	0.0573781	0.0409566	0.0232504	0.0487717	0.0278217	0.868125	0.131875	0.6635076
504	-70.43061	-83.63253	13.20193	0.00410543	0.00107432	0.0694826	0.0429557	0.0121101	0.00253496	0.0455579	0.037241	0.0224881	0.058867	0.0361038	0.164709	0.0358818	0.0432284	0.0325721	0.041714	0.0229327	0.7563731	1.243627	0.535493	0.737416	0.909345	1.09969	1.35609	1.86744	0.4516059	1.644198	0.00609514	0.00159499	0.103157	0.0637743	0.0179794	0.00376353	0.0676376	0.0552899	0.033387	0.087397	0.0536016	0.244535	0.0532719	0.0641791	0.0483582	0.0619307	0.034047	0.621813	0.378187	0.6735586
540	-65.85599	-77.55178	11.69579	0.0161891	0.00161361	0.0727526	0.0512295	0.00788467	0.009782	0.0500988	0.0161074	0.00265316	0.0281519	0.0375448	0.146904	0.00902889	0.0276071	0.0105392	0.0342493	0.026197	0.2880771	1.711923	0.615025	0.788937	0.928708	1.07676	1.26753	1.62595	0.3514788	5.942585	0.0295134	0.00294168	0.132631	0.0933936	0.0143741	0.017833	0.0913324	0.0293646	0.00483682	0.0513222	0.0684458	0.267812	0.0164601	0.050329	0.0192134	0.062438	0.0477582	0.855961	0.144039	0.5485329
576	-67.12556	-80.33268	13.20712	0.00813758	0.00178936	0.00782813	0.0258269	0.0176566	0.00681331	0.00249532	0.0046481	0.00429764	0.00616798	0.0363177	0.0394101	0.00335958	0.0162143	0.0120798	0.0103598	0.00731223	1.106771	0.8932295	0.269975	0.528026	0.819358	1.22047	1.89385	3.70405	0.946805	0.8070593	0.038619	0.00849189	0.0371504	0.122568	0.0837937	0.0323343	0.0118422	0.0220588	0.0203956	0.0292717	0.172355	0.187031	0.0159437	0.076949	0.057328	0.0491653	0.0347021	0.446615	0.553385	0.2107145
612	-66.31112	-80.27909	13.96797	0.0267679	0.0117849	0.114669	0.0119435	0.0294581	0.00988723	0.00444277	0.00305669	0.00190809	0.0453393	0.05963	0.130778	0.0160329	0.0543422	0.0631029	0.0204112	0.0669371	1.147061	0.8529385	0.500418	0.713451	0.90002	1.11109	1.40164	1.99833	0.5005887	0.7435857	0.0399228	0.0175764	0.171023	0.0178131	0.0439351	0.0147462	0.00662613	0.00455887	0.0028458	0.0676209	0.0889346	0.195048	0.0239121	0.0810483	0.0941143	0.030442	0.0998328	0.426469	0.573531	0.6704925
